id;default_view;last_start;last_end;week_start;show_weekend
1;MONTH;2025-08-24T21:46:03;2025-08-24T16:13:32;SUNDAY;true
2;MONTH;2025-08-24T18:18:24;2025-08-25T09:09:49;MONDAY;false
3;WEEK;2025-08-25T02:40:19;2025-08-24T15:50:51;MONDAY;true
4;LIST;2025-08-25T04:53:36;2025-08-25T05:33:49;SUNDAY;true
5;WEEK;2025-08-25T01:27:08;2025-08-25T01:53:54;SUNDAY;false
6;LIST;2025-08-25T09:32:32;2025-08-24T22:22:40;MONDAY;true
7;LIST;2025-08-25T02:45:03;2025-08-24T14:31:44;MONDAY;true
8;DAY;2025-08-25T07:18:57;2025-08-24T23:22:13;MONDAY;true
9;LIST;2025-08-24T19:04:57;2025-08-25T08:24:18;MONDAY;false
10;LIST;2025-08-24T13:42:00;2025-08-24T14:32:50;SUNDAY;true
